Palavra,Documentos
manic,"[(63, 1), (68, 1), (72, 1)]"
mios,"[(63, 1), (68, 1), (72, 1)]"
repetem,"[(63, 1)]"
asilar,"[(63, 1)]"
isoladamente,"[(63, 1)]"
marginalizada,"[(63, 1)]"
isolada,"[(63, 1), (263, 1)]"
esquecida,"[(63, 1)]"
fundamentais,"[(63, 1), (81, 1)]"
imenso,"[(63, 1), (169, 1)]"
baixíssima,"[(63, 1)]"
eficiência,"[(63, 1)]"
financiando,"[(63, 1)]"
afora,"[(63, 1), (192, 1)]"
desconfiamos,"[(63, 1)]"
certo,"[(63, 1), (66, 2), (72, 1), (100, 1), (103, 1), (119, 2), (126, 1), (131, 1), (136, 1), (146, 1), (177, 1), (197, 1), (209, 1), (219, 1), (220, 1), (257, 2), (259, 1), (267, 1)]"
lucrativo,"[(63, 1)]"
populações,"[(63, 1), (74, 1), (168, 1), (193, 1), (202, 1), (224, 2)]"
invisibilizadas,"[(63, 1)]"
saem,"[(63, 1), (267, 1)]"
financiados,"[(63, 1)]"
médio,"[(63, 1), (100, 1), (108, 2), (113, 1), (121, 1), (129, 1), (160, 1), (187, 1), (199, 1), (208, 1), (218, 1), (219, 1), (232, 6), (235, 1)]"
vimos,"[(63, 1), (118, 1), (249, 1), (266, 1)]"
abstinência,"[(63, 2), (68, 2)]"
abordagem,"[(63, 1), (68, 1), (105, 1), (150, 1), (161, 1), (273, 1)]"
desacordo,"[(63, 1)]"
indicar,"[(63, 1), (100, 1), (140, 1), (167, 1), (241, 1)]"
meta,"[(63, 1), (152, 1)]"
danos,"[(63, 1), (68, 1), (77, 1), (89, 1), (99, 1), (165, 1), (190, 1), (215, 1), (218, 2)]"
copiados,"[(63, 1)]"
basicamente,"[(63, 1), (128, 1), (177, 1), (220, 1), (257, 1)]"
reforço,"[(63, 1)]"
usuário,"[(63, 2), (193, 1), (197, 1), (273, 1)]"
vir,"[(63, 1), (81, 1), (205, 1), (266, 1)]"
religioso,"[(63, 1), (81, 1), (118, 1), (119, 1), (148, 1), (160, 1), (218, 2), (249, 1)]"
incorporado,"[(63, 1), (164, 1), (173, 1)]"
respeitam,"[(63, 1), (80, 2)]"
impõem,"[(63, 1)]"
laborterapia,"[(63, 2)]"
desculpe,"[(63, 1)]"
ocupação,"[(63, 1), (163, 2), (173, 1), (174, 1), (229, 1), (234, 2), (235, 1)]"
pintam,"[(63, 1)]"
limpam,"[(63, 1)]"
jardinagem,"[(63, 1)]"
moralmente,"[(63, 2), (162, 1)]"
fracas,"[(63, 1)]"
fortes,"[(63, 1), (118, 1), (124, 1), (128, 1), (183, 1), (218, 1), (264, 1)]"
recebendo,"[(63, 1), (92, 2), (97, 1), (160, 2), (175, 1), (207, 1), (220, 1)]"
orientações,"[(63, 1)]"
análogos,"[(63, 1)]"
encontramos,"[(63, 1), (218, 1)]"
trabalhavam,"[(63, 1)]"
limpando,"[(63, 1), (160, 1)]"
banheiro,"[(63, 1), (249, 1), (254, 1)]"
monitores,"[(63, 1)]"
terapêutica,"[(63, 1)]"
manicomial,"[(63, 2)]"
tirá,"[(63, 1)]"
convívio,"[(63, 1), (218, 1), (249, 1)]"
assembleias,"[(63, 1), (192, 1), (234, 1)]"
terapêutico,"[(63, 1), (216, 1)]"
discutem,"[(63, 1), (200, 1)]"
paciente,"[(63, 1), (68, 1), (216, 1), (245, 1)]"
readquirir,"[(63, 1)]"
repertório,"[(63, 1)]"
ativamente,"[(63, 1), (136, 1)]"
consciente,"[(63, 1), (66, 1), (111, 1)]"
participativo,"[(63, 1)]"
oposto,"[(63, 1), (77, 1)]"
ciclos,"[(63, 1), (216, 1)]"
compulsório,"[(63, 1)]"
criminais,"[(63, 1), (104, 1), (118, 1), (203, 1), (273, 1)]"
medicina,"[(63, 1), (68, 2), (216, 1)]"
tratados,"[(63, 1), (77, 1)]"
assinou,"[(63, 1), (156, 1)]"
psiquiatra,"[(63, 2), (270, 1)]"
plantão,"[(63, 2), (245, 2), (276, 2)]"
visitamos,"[(63, 1)]"
rivotril,"[(63, 1)]"
haldol,"[(63, 1)]"
prescrição,"[(63, 1), (148, 1), (216, 1)]"
inclusiva,"[(63, 1)]"
garanta,"[(63, 1), (218, 1)]"
criando,"[(63, 1), (179, 1), (266, 1)]"
gravíssimos,"[(63, 1), (77, 1)]"
criminalidade,"[(63, 1), (77, 3), (84, 1), (195, 1)]"
dependência,"[(63, 1), (100, 1), (245, 1)]"
álcool,"[(63, 1), (68, 1), (81, 1), (267, 1)]"
foz,"[(64, 1)]"
iguaçu,"[(64, 1)]"
oficializou,"[(64, 1)]"
hidrelétrica,"[(64, 3)]"
paraguaio,"[(64, 1)]"
mario,"[(64, 1), (164, 1)]"
abdo,"[(64, 1)]"
benítez,"[(64, 1)]"
colorado,"[(64, 1)]"
lembrado,"[(64, 1), (73, 1), (225, 1)]"
paraquedista,"[(64, 1)]"
lembrados,"[(64, 1)]"
construção,"[(64, 1), (114, 1), (120, 1), (126, 2), (146, 2), (164, 1), (174, 1), (218, 1), (234, 3), (237, 1), (242, 2), (268, 2)]"
itaipu,"[(64, 2)]"
militarizado,"[(64, 1)]"
marechal,"[(64, 1)]"
castello,"[(64, 1)]"
articuladores,"[(64, 1), (231, 3)]"
vigente,"[(64, 1), (245, 1)]"
grandiosidade,"[(64, 1)]"
obra,"[(64, 1), (146, 1), (202, 1), (207, 1), (218, 1), (234, 1)]"
médici,"[(64, 1)]"
saiu,"[(64, 1), (88, 1), (130, 1), (193, 1), (215, 1), (218, 1), (219, 2), (220, 1), (228, 1), (234, 1), (246, 1), (249, 1), (252, 1)]"
geisel,"[(64, 1), (133, 1)]"
aproveitou,"[(64, 1), (100, 1), (177, 1), (245, 1), (261, 1)]"
saudoso,"[(64, 1)]"
usina,"[(64, 1), (65, 1)]"
inaugurada,"[(64, 1), (226, 1), (229, 1)]"
apó,"[(64, 1)]"
ditadores,"[(64, 1)]"
versículo,"[(64, 1)]"
bíblico,"[(64, 1), (172, 1)]"
conhecerais,"[(64, 1)]"
libertará,"[(64, 1)]"
gritou,"[(64, 1)]"
patriotismo,"[(64, 1), (66, 1)]"
encaminhada,"[(64, 1), (82, 1), (103, 1)]"
economicamente,"[(64, 1), (91, 1)]"
fadado,"[(64, 1)]"
insucesso,"[(64, 1)]"
resumiu,"[(64, 1)]"
ccj,"[(64, 1), (175, 1)]"
analisará,"[(64, 1)]"
fere,"[(64, 1), (80, 1), (107, 1), (165, 1)]"
athié,"[(65, 2)]"
contestam,"[(65, 1)]"
envolvidas,"[(65, 1), (69, 1), (133, 1), (205, 1)]"
suposto,"[(65, 2), (89, 1), (182, 1), (192, 1)]"
delator,"[(65, 1)]"
amigo,"[(65, 1), (73, 1), (82, 1), (89, 3), (100, 2), (103, 7), (107, 7), (121, 1), (164, 1), (173, 1), (192, 1), (201, 1), (220, 1), (224, 1), (235, 1), (266, 1), (272, 1)]"
empreiteira,"[(65, 1)]"
renan,"[(65, 1), (100, 2), (103, 2), (179, 1), (185, 1), (228, 3), (252, 1)]"
calheiros,"[(65, 1), (100, 4), (185, 1), (228, 2), (231, 9)]"
cunha,"[(65, 1), (177, 1)]"
provas,"[(65, 2), (102, 1), (120, 1), (121, 1), (148, 1), (195, 1), (228, 1), (242, 1)]"
comprometendo,"[(65, 1)]"
antecipação,"[(65, 1)]"
admita,"[(65, 1), (272, 1)]"
existirem,"[(65, 1)]"
indícios,"[(65, 1), (84, 1), (91, 1), (121, 1), (190, 2), (195, 2), (207, 3), (258, 1)]"
incriminar,"[(65, 1)]"
servem,"[(65, 1), (102, 1), (121, 1), (160, 1), (195, 1), (236, 1)]"
eis,"[(65, 2), (73, 1), (76, 1), (179, 1), (225, 1)]"
demonstrado,"[(65, 1), (188, 1)]"
atentam,"[(65, 1), (236, 1)]"
ocultando,"[(65, 1)]"
embaraçando,"[(65, 1)]"
embaraçar,"[(65, 1)]"
instrução,"[(65, 1), (218, 1)]"
normas,"[(65, 1), (113, 1), (161, 1), (167, 1), (195, 1), (204, 1), (234, 1)]"
antecipatória,"[(65, 1)]"
anotou,"[(65, 1)]"
determinada,"[(65, 1), (72, 1), (181, 1)]"
ressalto,"[(65, 1)]"
chamada,"[(65, 1), (106, 1), (130, 1), (157, 1), (173, 1), (188, 1), (193, 1), (197, 1), (200, 1), (216, 1), (245, 1), (267, 1)]"
assola,"[(65, 1)]"
todavia,"[(65, 1)]"
observância,"[(65, 1), (77, 1)]"
asseguradas,"[(65, 1), (195, 1)]"
legitimidade,"[(65, 1), (135, 1), (138, 2), (141, 1), (143, 2), (146, 1), (147, 1), (153, 1), (154, 1), (156, 2)]"
praga,"[(65, 1), (77, 1), (121, 1)]"
inquéritos,"[(65, 1), (254, 2), (258, 2)]"
homologada,"[(65, 1)]"
luís,"[(65, 1), (190, 1), (195, 1), (207, 1), (270, 1)]"
porto,"[(65, 1), (139, 1), (187, 1), (193, 1), (201, 1), (207, 1)]"
vantagens,"[(65, 1), (164, 1), (177, 1), (201, 2), (207, 1)]"
indevidas,"[(65, 1), (201, 2), (207, 1)]"
denunciado,"[(65, 1), (178, 1), (249, 1), (258, 1)]"
limongi,"[(66, 1)]"
doutor,"[(66, 1), (110, 1), (179, 1)]"
eesp,"[(66, 1)]"
incapacidade,"[(66, 3), (170, 1), (219, 1)]"
estabelecer,"[(66, 2), (167, 1), (172, 1), (218, 1), (235, 1), (273, 1)]"
efetivo,"[(66, 1), (104, 1)]"
deliberativo,"[(66, 2)]"
medíocre,"[(66, 2), (164, 1)]"
baixíssimo,"[(66, 2)]"
clero,"[(66, 2), (111, 1), (161, 1), (167, 1), (170, 2), (192, 1), (225, 1), (228, 1), (231, 2)]"
fazia,"[(66, 2), (103, 2), (107, 1), (192, 2), (197, 1), (223, 1), (249, 1)]"
movimentar,"[(66, 2), (82, 1), (216, 1)]"
governar,"[(66, 3), (80, 1), (106, 1), (164, 1), (220, 1)]"
indaga,"[(66, 1)]"
ebc,"[(66, 1)]"
completo,"[(66, 1), (102, 1), (195, 1)]"
bobagem,"[(66, 2)]"
elege,"[(66, 1), (153, 1), (154, 1)]"
ganhar,"[(66, 1), (68, 1), (100, 1), (103, 1), (111, 1), (157, 1), (160, 1), (177, 1), (218, 1), (220, 1), (240, 1)]"
trouxer,"[(66, 1)]"
virão,"[(66, 1), (155, 1)]"
ganham,"[(66, 1), (131, 1), (160, 1), (163, 1)]"
zero,"[(66, 1), (85, 1), (115, 1)]"
querendo,"[(66, 1), (117, 1), (130, 1), (160, 1), (175, 1)]"
dividir,"[(66, 1), (96, 1)]"
reciprocidade,"[(66, 1), (117, 2)]"
ajudá,"[(66, 1)]"
ditar,"[(66, 1), (269, 1)]"
jogado,"[(66, 1), (271, 1)]"
dificuldade,"[(66, 1), (67, 1), (94, 1), (220, 1), (222, 1)]"
esquemas,"[(66, 1), (201, 1)]"
governabilidade,"[(66, 1)]"
precisaria,"[(66, 1), (119, 1), (270, 1)]"
corrompido,"[(66, 1)]"
alimentando,"[(66, 1)]"
tse,"[(66, 1), (88, 1), (107, 1), (225, 1), (228, 1), (270, 2)]"
fiscalizando,"[(66, 1)]"
empreiteiras,"[(66, 1), (220, 1), (234, 1)]"
prestava,"[(66, 1)]"
serviço,"[(66, 1), (88, 1), (120, 1), (147, 1), (163, 1), (164, 1), (175, 1), (178, 1), (179, 1), (188, 1), (203, 1), (214, 1), (215, 1), (264, 1)]"
máquina,"[(66, 1), (164, 1), (228, 1), (236, 1)]"
complicado,"[(66, 1), (78, 1)]"
fiscaliza,"[(66, 1)]"
põe,"[(66, 1), (215, 1)]"
riscado,"[(66, 1)]"
pensa,"[(66, 1), (77, 1), (133, 1), (249, 1)]"
mec,"[(66, 1), (89, 1)]"
vira,"[(66, 1), (215, 1)]"
bagunça,"[(66, 1), (76, 1), (106, 1)]"
parlamentarista,"[(66, 1)]"
crivo,"[(66, 2), (102, 1), (107, 1)]"
trâmite,"[(66, 1)]"
abrir,"[(66, 1), (68, 1), (89, 1), (128, 2), (169, 1), (177, 1), (187, 1), (195, 1), (228, 1), (235, 3), (254, 1), (267, 1)]"
incorporar,"[(66, 1), (144, 1), (257, 1)]"
correções,"[(66, 1)]"
senso,"[(66, 1), (235, 2), (263, 1)]"
presunção,"[(66, 1), (77, 1), (195, 3), (246, 2), (271, 1)]"
sugerida,"[(66, 1), (103, 1)]"
piorar,"[(66, 1), (146, 1)]"
visando,"[(66, 1), (106, 1), (255, 1)]"
partidários,"[(66, 1), (71, 1), (121, 1), (146, 1), (187, 1), (211, 1)]"
opera,"[(66, 1), (201, 1)]"
acontecendo,"[(66, 1), (91, 2), (215, 2), (220, 1), (244, 1), (249, 2)]"
afetado,"[(66, 1), (240, 1)]"
corrigir,"[(66, 1), (175, 1)]"
humanamente,"[(66, 1)]"
onisciente,"[(66, 1)]"
saiba,"[(66, 1), (170, 1), (216, 1), (228, 1)]"
perfeitas,"[(66, 1)]"
precisem,"[(66, 1)]"
discutidas,"[(66, 1)]"
obviamente,"[(66, 2), (177, 1)]"
interessada,"[(66, 1)]"
tantos,"[(66, 1), (74, 1), (85, 2), (162, 1), (218, 1), (225, 1), (236, 1), (237, 1)]"
acontecerá,"[(66, 1), (168, 1)]"
espontaneamente,"[(66, 1)]"
revela,"[(66, 1), (219, 1), (240, 1)]"
pensar,"[(66, 1), (72, 1), (74, 1), (160, 1), (163, 1), (237, 1), (254, 2)]"
compreensão,"[(66, 1), (76, 1), (249, 1)]"
básico,"[(66, 1), (146, 1)]"
inexperiente,"[(66, 1), (231, 1)]"
impor,"[(66, 1), (68, 2), (111, 1), (163, 1), (217, 1), (218, 1), (232, 1), (236, 1), (272, 1)]"
vontade,"[(66, 1), (77, 1), (138, 1), (140, 1), (164, 1), (249, 1)]"
mandam,"[(66, 1)]"
definem,"[(66, 1)]"
primária,"[(66, 1)]"
despreparadas,"[(66, 1)]"
complicada,"[(66, 1), (249, 1)]"
consegue,"[(66, 2), (73, 1), (197, 1), (218, 1), (249, 1)]"
fragilidade,"[(66, 1)]"
engolir,"[(66, 2)]"
sapo,"[(66, 2)]"
mitos,"[(66, 1)]"
quedas,"[(66, 2)]"
collor,"[(66, 2), (100, 1), (179, 1), (237, 1), (249, 2)]"
alternativo,"[(66, 1), (143, 1)]"
formando,"[(66, 1), (106, 1)]"
polos,"[(66, 1)]"
atração,"[(66, 1), (184, 1)]"
capazes,"[(66, 1), (170, 1), (177, 1), (179, 1), (215, 1), (219, 1), (245, 1), (265, 1), (266, 1)]"
retirou,"[(66, 1), (133, 1), (231, 1), (253, 1)]"
delicado,"[(66, 1), (114, 1), (152, 1)]"
períodos,"[(66, 1), (158, 1)]"
arrasada,"[(66, 1)]"
produzida,"[(66, 1)]"
viável,"[(66, 1)]"
aprender,"[(66, 1), (162, 1), (172, 1), (187, 1), (267, 1)]"
indicando,"[(66, 1), (107, 1), (121, 1)]"
vélez,"[(66, 1), (133, 1), (195, 1), (218, 3), (225, 1)]"
pastas,"[(66, 1), (218, 1)]"
pouquinho,"[(66, 1)]"
experientes,"[(66, 1)]"
agricultura,"[(66, 1), (95, 1), (129, 1), (164, 1), (173, 1), (224, 2), (233, 1), (240, 3), (241, 3), (257, 1), (262, 1), (269, 1)]"
mexeram,"[(66, 1)]"
fortemente,"[(66, 1), (76, 1), (118, 1), (187, 1), (205, 1), (253, 2)]"
despreparo,"[(66, 1), (179, 1)]"
comportar,"[(66, 2), (211, 1)]"
casca,"[(66, 1)]"
crocodilo,"[(66, 1)]"
provocações,"[(66, 1), (256, 1)]"
desconsiderar,"[(66, 1)]"
reagir,"[(66, 2), (184, 1), (266, 2)]"
civilizada,"[(66, 1)]"
efetivos,"[(66, 1)]"
desfechada,"[(66, 1)]"
via,"[(66, 1), (89, 2), (92, 1), (105, 1), (107, 1), (131, 1), (137, 1), (185, 1), (200, 1), (218, 1), (230, 1), (273, 1)]"
superior,"[(66, 1), (89, 1), (95, 1), (102, 1), (156, 1), (163, 1), (164, 1), (228, 2), (230, 2), (239, 1), (246, 1), (257, 1), (270, 2), (278, 1)]"
descer,"[(66, 1), (147, 1), (215, 1)]"
estadista,"[(66, 1), (164, 1)]"
meteórica,"[(66, 1)]"
vazio,"[(66, 1)]"
ator,"[(66, 1), (76, 3)]"
relevante,"[(66, 1), (82, 1), (129, 1), (167, 1), (204, 1)]"
chamando,"[(66, 1), (225, 1)]"
almoço,"[(66, 1), (128, 1), (160, 2), (249, 1)]"
desarmou,"[(66, 1)]"
minimamente,"[(66, 1)]"
desesperador,"[(66, 1)]"
imprevisível,"[(66, 1), (153, 1), (154, 1), (219, 1)]"
irresponsável,"[(66, 1), (169, 1), (254, 1), (258, 1)]"
associar,"[(66, 1), (85, 1), (257, 1)]"
expressar,"[(66, 1)]"
capitulou,"[(66, 1)]"
inusitado,"[(66, 1)]"
desespero,"[(66, 1), (70, 2), (81, 1), (160, 1), (220, 1)]"
expectativa,"[(66, 1), (72, 1), (76, 1), (100, 1), (149, 1), (175, 1), (194, 1), (198, 1), (220, 1), (233, 1), (249, 1)]"
molecagem,"[(66, 1)]"
coaf,"[(66, 1), (69, 1), (89, 2), (102, 4), (103, 8), (192, 2), (252, 1), (258, 3)]"
identificou,"[(66, 1), (89, 1), (243, 1)]"
movimentações,"[(66, 1), (100, 1), (102, 1), (103, 1), (192, 1), (220, 1), (231, 1)]"
flávio,"[(66, 2), (69, 1), (70, 5), (83, 1), (89, 1), (100, 5), (102, 2), (103, 3), (179, 1), (192, 11), (195, 9), (220, 2), (225, 1), (230, 1), (252, 8), (258, 6)]"
wilson,"[(66, 1), (67, 1), (87, 1), (98, 1), (101, 1)]"
invenção,"[(66, 1)]"
cresceu,"[(66, 1), (109, 2), (112, 1), (113, 2), (160, 1), (225, 1)]"
figura,"[(66, 1), (76, 8)]"
tocou,"[(66, 1), (119, 1), (266, 1)]"
nisso,"[(66, 1), (105, 1), (157, 1), (249, 3)]"
antiprogressista,"[(66, 1)]"
fhc,"[(66, 1), (113, 1), (245, 1), (270, 1)]"
pego,"[(66, 1), (216, 1)]"
velhíssima,"[(66, 2)]"
mantendo,"[(66, 1), (140, 1)]"
servidor,"[(66, 1), (149, 1), (194, 1)]"
fantasma,"[(66, 1), (69, 1), (100, 1), (225, 1)]"
revelou,"[(66, 1), (69, 1), (70, 2), (78, 1), (89, 1), (139, 1), (162, 1), (168, 1), (177, 1), (225, 1), (233, 1), (252, 1), (254, 1)]"
pratica,"[(66, 1), (85, 1), (235, 1), (266, 1)]"
oportunista,"[(66, 2)]"
abraçou,"[(66, 1), (184, 1)]"
prova,"[(66, 1), (70, 2), (103, 1), (146, 1), (165, 1), (185, 1), (193, 1), (220, 1), (249, 2)]"
ressaltar,"[(66, 1), (107, 1)]"
holofotes,"[(66, 1), (114, 1), (220, 1)]"
premeditado,"[(66, 1)]"
desviado,"[(66, 1)]"
brigando,"[(66, 1)]"
usa,"[(66, 1), (113, 1), (130, 1), (268, 1)]"
pai,"[(66, 1), (70, 2), (73, 1), (78, 4), (100, 1), (121, 1), (144, 1), (177, 1), (192, 1), (195, 2), (199, 2), (215, 1), (219, 1), (225, 3), (229, 2), (245, 1), (249, 28), (261, 2), (270, 2), (273, 1)]"
césar,"[(66, 1)]"
factoide,"[(66, 1)]"
cria,"[(66, 1), (84, 1), (164, 1), (249, 1)]"
quieto,"[(66, 1), (100, 1)]"
encontrados,"[(66, 1), (82, 1), (193, 1)]"
fuzis,"[(66, 1), (70, 1), (104, 1), (193, 1), (198, 1)]"
desmontados,"[(66, 1)]"
pertencem,"[(66, 1)]"
núcleo,"[(66, 1), (73, 2), (89, 1), (122, 1), (192, 1)]"
convivendo,"[(66, 1)]"
infinitamente,"[(66, 1)]"
problemática,"[(66, 1), (100, 1)]"
desvio,"[(66, 1), (95, 2), (177, 1), (219, 1)]"
contrabando,"[(66, 1)]"
fingir,"[(66, 1)]"
desconhece,"[(66, 1)]"
insistência,"[(66, 1), (130, 1)]"
auxiliares,"[(66, 1), (177, 1), (195, 1), (235, 1)]"
tampouco,"[(66, 1), (179, 1), (184, 1), (249, 1), (269, 1)]"
dão,"[(66, 1), (70, 1), (119, 1), (152, 1), (164, 1), (179, 1), (202, 1), (236, 1), (271, 1)]"
pressiona,"[(66, 1)]"
imediatamente,"[(66, 1), (140, 1), (147, 1), (183, 1), (215, 1), (217, 1), (252, 1), (254, 1)]"
envergadura,"[(66, 1), (271, 1), (275, 1)]"
vota,"[(66, 1), (222, 2), (249, 1), (254, 1)]"
onyx,"[(66, 1), (100, 3), (103, 1), (177, 1), (179, 4), (185, 1), (228, 1)]"
lorenzoni,"[(66, 1), (100, 14), (103, 4), (177, 9), (179, 3), (185, 1), (214, 1), (228, 1), (231, 2)]"
mandar,"[(66, 1), (195, 1)]"
adição,"[(66, 1)]"
cinismo,"[(66, 1)]"
acabasse,"[(66, 1)]"
diagnóstico,"[(66, 1)]"
corrompem,"[(66, 1)]"
concorrências,"[(66, 1)]"
continuou,"[(66, 1), (94, 1), (97, 1), (119, 1), (130, 1), (164, 1), (270, 1)]"
leite,"[(66, 1), (70, 1), (113, 2), (225, 1)]"
derramado,"[(66, 1), (76, 1)]"
prendendo,"[(66, 1)]"
praticou,"[(66, 1)]"
guanabara,"[(67, 1)]"
laranjeiras,"[(67, 1)]"
delegado,"[(67, 2), (70, 1), (91, 2), (93, 2), (98, 1), (101, 4), (177, 1), (207, 1), (225, 1), (228, 1), (252, 2)]"
giniton,"[(67, 1), (91, 1), (93, 1), (98, 3), (101, 3), (252, 1)]"
lages,"[(67, 5), (91, 1), (93, 1), (98, 2), (101, 2), (252, 2)]"
delegacia,"[(67, 1), (101, 1), (178, 1), (252, 1), (258, 1)]"
homicídios,"[(67, 1), (70, 1), (84, 1), (98, 1), (101, 1), (104, 1), (252, 1), (258, 2)]"
obsessão,"[(67, 2), (184, 1)]"
lessa,"[(67, 2), (70, 6), (93, 1), (96, 4), (98, 2), (99, 2), (101, 3), (179, 5), (252, 2)]"
personalidades,"[(67, 3), (120, 1), (246, 1), (261, 1)]"
alvos,"[(67, 1), (95, 1), (100, 2), (133, 1)]"
percebemos,"[(67, 1)]"
ódio,"[(67, 2), (94, 1), (111, 1), (163, 1), (172, 6), (193, 1), (197, 2), (202, 2), (220, 1), (249, 4), (254, 1), (266, 4)]"
desejo,"[(67, 1), (70, 2), (140, 1)]"
pesquisar,"[(67, 1)]"
armamentos,"[(67, 1), (124, 1), (198, 1), (258, 1)]"
arma,"[(67, 1), (81, 1), (84, 1), (104, 1), (105, 1), (162, 1), (186, 1), (193, 2)]"
silenciadores,"[(67, 1)]"
específicos,"[(67, 1)]"
armamento,"[(67, 1), (84, 1)]"
matou,"[(67, 1), (197, 1), (199, 4), (202, 1), (203, 1)]"
anderson,"[(67, 1), (70, 2), (79, 1), (87, 1), (93, 1), (96, 1), (98, 1), (101, 1), (218, 2), (243, 2), (252, 3), (254, 1), (258, 2)]"
élcio,"[(67, 1), (70, 2), (93, 1), (96, 2), (98, 2), (99, 1), (101, 1)]"
queiroz,"[(67, 1), (69, 2), (70, 3), (89, 3), (90, 1), (93, 1), (96, 2), (98, 2), (99, 2), (100, 3), (101, 1), (102, 2), (103, 12), (192, 15), (195, 2), (252, 4), (258, 6)]"
definitivo,"[(67, 1), (86, 1), (200, 1), (225, 1), (265, 1)]"
investigará,"[(67, 1)]"
partindo,"[(67, 1)]"
mando,"[(67, 1), (271, 1)]"
andamento,"[(67, 1), (101, 1), (137, 2), (172, 1), (180, 1), (240, 1), (258, 1)]"
mandatos,"[(67, 1), (83, 1), (179, 1), (231, 1), (254, 1)]"
completará,"[(67, 1)]"
indício,"[(67, 1), (117, 1), (190, 1)]"
planejado,"[(67, 1), (96, 1), (135, 2)]"
pensando,"[(67, 1), (91, 1), (100, 1), (187, 1), (220, 1)]"
desceram,"[(67, 1)]"
veículo,"[(67, 1), (96, 2), (122, 1), (147, 1), (193, 1)]"
emblemático,"[(67, 1)]"
foge,"[(67, 1)]"
executores,"[(67, 1), (70, 1), (91, 2), (96, 1), (101, 2), (252, 1)]"
matar,"[(67, 1), (70, 2), (98, 1), (101, 2), (193, 1), (195, 1), (197, 2), (203, 1), (218, 2), (224, 1), (249, 1)]"
motivação,"[(67, 1), (93, 1), (108, 1), (148, 1), (193, 1), (243, 1), (252, 1), (272, 1)]"
respondida,"[(67, 1)]"
witzel,"[(67, 1), (87, 1), (98, 1), (101, 2)]"
psc,"[(67, 1), (70, 1), (87, 1), (101, 1), (107, 1), (256, 1)]"
avançamos,"[(67, 1)]"
restabelecer,"[(67, 1)]"
aparelhos,"[(68, 1)]"
eletrochoque,"[(68, 3)]"
sus,"[(68, 1), (218, 1)]"
frequentados,"[(68, 1)]"
adultos,"[(68, 1), (104, 1), (130, 1), (148, 1), (162, 1), (217, 1)]"
recomendada,"[(68, 1)]"
abuso,"[(68, 1), (126, 1), (161, 4), (162, 1), (167, 1), (170, 2), (216, 1), (249, 2), (272, 1)]"
leia,"[(68, 1), (102, 1), (246, 1)]"
aprofunda,"[(68, 1)]"
diretrizes,"[(68, 1), (161, 1), (170, 1), (174, 1)]"
temporão,"[(68, 2)]"
manifesto,"[(68, 1), (71, 1), (193, 4), (197, 4), (202, 5), (203, 1)]"
reformulação,"[(68, 1)]"
erro,"[(68, 2), (103, 1), (109, 1), (112, 1), (172, 1), (177, 1)]"
atrasada,"[(68, 2), (97, 1)]"
medicalizadora,"[(68, 2)]"
hospitalcêntrica,"[(68, 2)]"
travestida,"[(68, 2)]"
neutralidade,"[(68, 1), (76, 1)]"
normativas,"[(68, 1)]"
enterrem,"[(68, 1)]"
temores,"[(68, 2), (183, 1)]"
justificáveis,"[(68, 2)]"
toca,"[(68, 2), (130, 1), (179, 1)]"
essência,"[(68, 2)]"
estigma,"[(68, 2)]"
preconceito,"[(68, 2), (72, 3), (85, 1), (119, 1)]"
potenciais,"[(68, 2), (77, 1)]"
marxistas,"[(68, 2)]"
leninistas,"[(68, 2)]"
marxismo,"[(68, 2), (133, 2)]"
vilões,"[(68, 2)]"
sanitarista,"[(68, 1)]"
pontos,"[(68, 1), (82, 1), (104, 1), (109, 4), (110, 1), (111, 2), (112, 3), (118, 1), (131, 1), (138, 1), (152, 1), (165, 1), (166, 1), (168, 1), (175, 3), (207, 1), (232, 2), (237, 1), (243, 1), (266, 1), (267, 1), (273, 2)]"
neutralidadechama,"[(68, 1)]"
cuidado,"[(68, 1), (77, 1), (158, 1), (171, 1), (218, 1), (235, 1), (267, 1)]"
humanização,"[(68, 1)]"
evidências,"[(68, 2), (89, 1), (198, 1), (219, 1), (246, 1)]"
implícito,"[(68, 1)]"
aspecto,"[(68, 1), (133, 1), (184, 1), (195, 1)]"
sabemos,"[(68, 1), (129, 1), (147, 1), (160, 1), (165, 1), (172, 1), (220, 1), (247, 1)]"
substitutivo,"[(68, 1)]"
implementado,"[(68, 1)]"
plenitude,"[(68, 1)]"
inúmeras,"[(68, 1), (266, 1)]"
razões,"[(68, 1), (86, 1), (97, 1), (100, 1), (164, 1), (167, 2), (190, 1), (234, 1)]"
exatamente,"[(68, 2), (100, 1), (111, 1), (114, 1), (115, 1), (133, 1), (187, 1), (195, 1), (263, 1)]"
rédeas,"[(68, 1)]"
visões,"[(68, 1), (193, 1), (197, 1), (203, 1), (234, 1), (237, 1), (264, 1)]"
radicalmente,"[(68, 1), (220, 1)]"
distintas,"[(68, 1), (87, 1), (206, 1), (248, 1)]"
neuropsíquicas,"[(68, 1)]"
biológica,"[(68, 1)]"
medicamento,"[(68, 1), (216, 1)]"
dialogar,"[(68, 1), (175, 1), (220, 1), (234, 1)]"
acolher,"[(68, 1), (172, 1), (234, 1)]"
compreender,"[(68, 1), (218, 1)]"
mecanismos,"[(68, 1), (196, 1), (236, 1)]"
