Palavra,Documentos
mbia,"[(1, 1), (4, 1), (13, 2), (24, 3), (134, 2), (136, 1), (139, 4), (140, 1), (141, 1), (150, 2), (156, 1), (169, 1), (172, 1), (220, 1), (248, 1), (261, 3)]"
desde,"[(1, 1), (2, 1), (3, 2), (6, 3), (10, 1), (13, 2), (18, 1), (20, 1), (26, 1), (27, 2), (29, 1), (30, 1), (32, 1), (33, 1), (34, 3), (35, 1), (43, 1), (59, 2), (72, 1), (73, 1), (76, 1), (79, 1), (86, 1), (90, 2), (92, 2), (93, 1), (95, 1), (96, 1), (97, 1), (98, 1), (100, 4), (102, 1), (103, 2), (104, 1), (107, 1), (110, 1), (112, 1), (113, 1), (117, 1), (118, 1), (119, 2), (120, 1), (121, 1), (122, 1), (124, 1), (127, 1), (129, 1), (130, 1), (133, 1), (135, 1), (138, 1), (139, 2), (141, 1), (146, 1), (150, 3), (153, 2), (154, 2), (159, 1), (164, 2), (167, 1), (168, 1), (174, 1), (177, 2), (180, 1), (181, 1), (182, 1), (187, 1), (188, 1), (195, 2), (197, 1), (201, 1), (205, 3), (207, 1), (214, 1), (216, 1), (217, 1), (218, 3), (220, 1), (222, 1), (224, 1), (225, 1), (228, 1), (229, 2), (231, 3), (232, 1), (234, 1), (235, 2), (236, 1), (240, 2), (245, 1), (246, 2), (248, 2), (249, 2), (251, 1), (254, 1), (255, 1), (256, 1), (261, 1), (266, 4), (267, 1), (269, 4), (272, 1), (273, 1), (274, 1), (277, 1)]"
existe,"[(1, 1), (3, 1), (15, 1), (44, 1), (53, 1), (61, 1), (72, 1), (76, 1), (78, 1), (80, 1), (100, 1), (102, 1), (104, 1), (118, 1), (126, 1), (164, 1), (172, 1), (180, 1), (188, 1), (219, 2), (220, 1), (235, 1), (246, 1), (248, 1), (249, 1), (266, 1), (270, 1), (271, 1)]"
comunicação,"[(1, 1), (20, 1), (45, 2), (50, 1), (61, 2), (85, 1), (118, 1), (130, 1), (164, 1), (167, 1), (177, 1), (196, 1), (218, 1), (222, 1), (237, 1), (254, 1)]"
oficial,"[(1, 1), (10, 1), (15, 2), (23, 1), (27, 1), (45, 2), (81, 1), (104, 1), (114, 1), (124, 1), (147, 1), (169, 1), (175, 1), (233, 1), (236, 1), (244, 1), (245, 1), (246, 1)]"
governo,"[(1, 4), (5, 3), (6, 1), (8, 2), (10, 1), (12, 2), (13, 2), (15, 1), (16, 5), (17, 9), (18, 1), (19, 1), (20, 1), (22, 1), (24, 1), (25, 1), (26, 2), (27, 10), (29, 7), (30, 7), (32, 2), (33, 1), (34, 1), (37, 2), (42, 8), (45, 1), (47, 6), (48, 1), (52, 2), (53, 1), (56, 1), (61, 4), (62, 2), (63, 2), (64, 2), (66, 10), (67, 1), (68, 7), (69, 1), (73, 1), (77, 1), (78, 1), (80, 1), (81, 2), (83, 2), (85, 3), (86, 3), (89, 9), (91, 1), (94, 3), (95, 8), (97, 2), (100, 12), (103, 2), (104, 1), (105, 1), (107, 2), (109, 4), (111, 1), (112, 2), (113, 2), (114, 2), (116, 1), (117, 2), (118, 2), (119, 3), (122, 2), (126, 1), (127, 1), (129, 3), (131, 3), (133, 7), (134, 2), (135, 1), (136, 7), (137, 1), (138, 3), (139, 2), (140, 6), (141, 4), (143, 3), (144, 1), (145, 1), (146, 1), (147, 2), (152, 3), (153, 4), (154, 4), (156, 3), (159, 1), (164, 9), (165, 4), (168, 2), (169, 6), (171, 1), (173, 2), (174, 3), (175, 2), (176, 2), (177, 4), (179, 7), (180, 1), (183, 1), (184, 2), (186, 2), (187, 1), (188, 4), (192, 1), (196, 2), (198, 1), (200, 1), (203, 1), (205, 2), (207, 2), (208, 2), (212, 1), (214, 4), (215, 2), (216, 4), (217, 1), (218, 8), (219, 1), (220, 9), (221, 1), (225, 7), (228, 2), (231, 2), (232, 2), (233, 2), (234, 1), (235, 4), (236, 5), (237, 4), (238, 2), (239, 1), (240, 10), (241, 3), (242, 2), (245, 8), (248, 1), (249, 3), (254, 6), (258, 1), (261, 8), (264, 3), (265, 1), (266, 1), (267, 5), (268, 3), (269, 1), (273, 5), (274, 2)]"
venezuelano,"[(1, 1), (19, 3), (24, 4), (135, 1), (136, 1), (138, 1), (140, 5), (143, 2), (145, 3), (146, 1), (147, 1), (152, 2), (153, 1), (154, 1), (156, 3), (160, 3)]"
sobre,"[(1, 4), (2, 1), (5, 3), (7, 4), (9, 1), (10, 1), (12, 1), (13, 3), (14, 1), (15, 5), (16, 3), (17, 2), (18, 1), (19, 1), (23, 1), (27, 3), (29, 2), (32, 4), (37, 3), (38, 2), (42, 3), (46, 3), (47, 3), (51, 1), (53, 2), (57, 1), (58, 5), (61, 1), (63, 2), (66, 5), (67, 4), (70, 5), (72, 3), (73, 1), (74, 1), (76, 3), (77, 2), (78, 1), (79, 1), (83, 1), (84, 1), (85, 1), (87, 1), (88, 1), (89, 1), (91, 2), (94, 1), (95, 7), (96, 5), (97, 3), (98, 1), (100, 5), (102, 2), (103, 4), (105, 1), (113, 1), (114, 3), (115, 1), (118, 2), (120, 7), (121, 8), (126, 1), (127, 2), (128, 5), (129, 1), (130, 8), (133, 1), (134, 2), (139, 1), (144, 3), (146, 2), (152, 3), (159, 1), (160, 1), (161, 1), (162, 1), (164, 5), (167, 2), (169, 2), (170, 3), (171, 2), (172, 4), (173, 7), (174, 1), (176, 1), (177, 7), (178, 1), (179, 1), (180, 3), (181, 1), (187, 1), (188, 1), (190, 1), (192, 1), (193, 1), (197, 1), (200, 1), (202, 1), (203, 3), (204, 1), (205, 1), (207, 3), (214, 1), (215, 3), (216, 2), (217, 1), (218, 8), (220, 2), (225, 2), (226, 1), (228, 1), (234, 1), (236, 1), (237, 2), (241, 3), (242, 1), (245, 4), (246, 3), (247, 1), (249, 3), (252, 4), (253, 1), (254, 9), (255, 1), (256, 1), (257, 4), (258, 1), (261, 4), (263, 2), (265, 1), (266, 1), (267, 2), (268, 1), (270, 5), (272, 2), (273, 1), (274, 5), (275, 1)]"
dados,"[(1, 5), (12, 1), (34, 3), (38, 2), (58, 1), (62, 2), (63, 1), (77, 1), (87, 1), (93, 1), (95, 2), (102, 3), (104, 2), (107, 1), (127, 1), (139, 1), (149, 1), (150, 1), (167, 1), (176, 1), (188, 1), (192, 1), (194, 1), (196, 1), (197, 1), (206, 1), (236, 2), (258, 1)]"
chegar,"[(1, 1), (13, 1), (30, 1), (37, 1), (91, 1), (95, 1), (100, 1), (107, 1), (152, 1), (158, 1), (187, 1), (188, 2), (201, 1), (212, 2), (216, 1), (220, 1), (236, 1), (245, 1), (249, 1), (268, 1)]"
